"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.294682886723254","0.273892774307692","0.309437864417741","0.313901342551121","0.101522842639594","0.117408906882591","0.12035010940919","0.0972827910097286","0.0353437094682231","0.0578503524696731","0.0704047359115412","0.0677734430617652","0.0133917834575945","0.0646656328424114","0.0347389864417031","0.0419537318079731","0.194033855360905","0.237767080224185","0.354385742317814","0.202643980255645","0.201195823259423","0.18584886898146","2.13159624830763","2.10072203608661","1.8103874257509","1.76577672964187","1.81541707617355","1.12692972735512","1.00901200143852","1.36714815873476","1.1551244137603","1.07990547437883","",
"","AFE","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.50060623421841","0.459519741496363","0.577848829241776","0.641286871776122","0.743001813715784","0.993647935970369","1.06957471711501","1.05234389117547","1.03600382875472","0.810570121908125","0.95039949493891","0.893964672203149","0.989529389019731","0.770564451524149","0.711549704388199","0.913712487362877","0.820920560351048","0.909913140997609","0.852471832437771","0.723242091731996","0.967969052184525","1.09589302674126","1.1496631977625","1.09328432584656","0.891746720557479","1.04759233001435","0.924769532799207","0.953954907653137","0.671860429568976","0.683688766535553","0.711356263266181","0.790146592325211","0.912534350181674","0.92477877247708","0.998149702722594","1.00421444365471","0.986402939075942","1.08702077426041","1.22428010014369","1.10518365084388","1.07525195743755","1.35981239947854","1.49865045555231","1.50413308778694","1.59990317435096","1.71310830216409","1.65501359659066",
"Afganistán","AFG","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.885723661387124","1.13316233567863","2.38515836845792","1.0059846865258","1.10218743514509","1.72321110990224","1.23611373619901","1.82199581344675","3.46484306572226","4.38709328246437","4.45098621835989","4.40742759471936","3.95329685319887","2.2430169473102","2.20656812428464","",
"","AFW","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.427408113660625","0.476667494072225","0.426208396337167","0.478139066470853","0.226228195320159","0.200272787604473","0.268122321893254","0.28222862134487","0.361126796482446","0.512474868402438","0.524418339626893","0.577758171881184","0.619821682157349","0.586910252181898","0.586254655226127","0.7076787758103","1.18337336300732","0.90062363647898","0.507569457501223","0.419819886918528","0.470601435419674","0.406373194571724","1.56399384988462","1.62336595412759","1.46847161261269","1.34024463812035","1.33214009025211","1.68370337114848","5.35280548778991","4.88799877623418","4.53079349558372","4.0140521314678","4.30322727370092","3.97561291203875","4.04902160112454","3.75323803695371","3.36587745901513","3.24983848341304","4.05753782709248","4.10711830620521","4.60834254326653","4.49942553988333","4.24525703018351","3.71318608253396","3.61246501198595","3.73762898358565","4.11104567355924",
"Angola","AGO","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0786784904242166","","","","","","","","","0","0","0","0.0927097781758097","0.000230927285992904","0.0214464794672161","0.000183157314750667","0.031509516005949","0.0276844929710311","0.0227784420031692","0.0122819350619397","0.00755861664156952","0.00192453909233653","0.00198770732462953","0.00485976371509549","0.0166036941792851","0.0189927443523619","0.0134152542495911","0.014242381877243",
"Albania","ALB","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2759615337456","28.0094210219427","16.3268486067455","17.8580021931142","17.2175575878921","13.2963534184062","19.801532657049","12.6769794000821","17.1764074549231","17.8297304636267","16.8711703482753","15.8379965268343","16.1548067697706","16.017038537764","15.2816531330425","13.7489494815148","14.4828076608173","14.261613230389","13.302456889895","12.0402402681923","11.5242826560794","10.0330744349155","10.7423012378312","11.3364376907448","11.010767760015","10.0756529807473","9.62106928646839","9.56258192659504","9.66835659483992","9.58338963069504","9.22610584526998","8.86151026933963",
"Andorra","AND","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.668748058302524","1.6401350704862","1.59417958308453","1.31863426954951","1.19586052645534",
"El mundo árabe","ARB","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.20892390611793","2.01814335682864","2.09251503991263","1.88907414969893","2.02357584143586","2.03772156120785","1.77100805807749","1.90661933630706","1.92170525457244","2.1325884005651","2.2691435417164","2.28362380943281","2.54323419392558","2.37785676696433","2.3041138966203","2.68793573950548","2.69903652938599","2.15218719618182","1.76831007076386",
"Emiratos Árabes Unidos","ARE","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Remesas de trabajadores y compensación de empleados, recibidas (% del PIB)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","0.0255731116996986","0.0283214484397916","0.0305372290292177","0.0301279033663525","0.0311842381591185","0.0238560449152275","0.0346602088675082","0.0161581685623613","0.0100780109769259","0.00673138932607845","0.0243725533357484","0.0242386581455873","0.0246481295421978","0.0238839095020297","0.0224340040770473","0.0229136648232595","0.0226789361004222","0.030380900529948","0.0705628184933387","0.211442420500352","0.214300874545602","0.189350126740114","0.217417890692876","0.232474118424109","0.210933764847302","0.195029381449765","0.188764794272549","0.152091367663287","0.131541807279184","0.105778682207302","0.0969166746867399","0.0960152008279335","0.0831331023452092","0.0702343224152265","0.0745674778829443","0.0995468179872308","0.125380809015097","0.168011924038753","0.185034774056045","0.167390906853407","0.157619019259828",
